organization_id,funnel_stage,date
org_45554,application_submitted,2024-09-12
org_34718,application_submitted,2024-07-17
org_20069,application_submitted,2024-04-25
org_704,application_submitted,2024-01-06
org_29265,application_submitted,2024-06-15
org_31594,application_submitted,2024-06-28
org_62469,application_submitted,2024-12-12
org_10862,application_submitted,2024-03-07
org_2735,application_submitted,2024-01-19
org_18823,application_submitted,2024-04-19
org_24461,application_submitted,2024-05-19
org_26465,application_submitted,2024-05-31
org_25812,application_submitted,2024-05-27
org_39615,application_submitted,2024-08-14
org_17256,application_submitted,2024-04-11
org_14327,application_submitted,2024-03-25
org_9870,application_submitted,2024-03-02
org_36828,application_submitted,2024-07-30
org_28217,application_submitted,2024-06-10
org_9547,application_submitted,2024-02-29
org_53744,application_submitted,2024-10-23
org_2116,application_submitted,2024-01-16
org_3093,application_submitted,2024-01-22
org_33147,application_submitted,2024-07-08
org_22660,application_submitted,2024-05-09
org_197,application_submitted,2024-01-03
org_29991,application_submitted,2024-06-20
org_42475,application_submitted,2024-08-28
org_3323,application_submitted,2024-01-23
org_29415,application_submitted,2024-06-17
org_316,application_submitted,2024-01-03
org_22819,application_submitted,2024-05-09
org_15081,application_submitted,2024-03-28
org_45562,application_submitted,2024-09-12
org_34487,application_submitted,2024-07-16
org_20127,application_submitted,2024-04-25
org_39818,application_submitted,2024-08-15
org_22404,application_submitted,2024-05-08
org_37031,application_submitted,2024-07-31
org_3030,application_submitted,2024-01-22
org_25438,application_submitted,2024-05-24
org_20812,application_submitted,2024-04-29
org_90,application_submitted,2024-01-02
org_11209,application_submitted,2024-03-09
org_9102,application_submitted,2024-02-27
org_32962,application_submitted,2024-07-07
org_27489,application_submitted,2024-06-05
org_35114,application_submitted,2024-07-19
org_56255,application_submitted,2024-11-06
org_29544,application_submitted,2024-06-18
org_38379,application_submitted,2024-08-07
org_21895,application_submitted,2024-05-05
org_4795,application_submitted,2024-02-01
org_2383,application_submitted,2024-01-17
org_21262,application_submitted,2024-05-01
org_7382,application_submitted,2024-02-16
org_39070,application_submitted,2024-08-12
org_33111,application_submitted,2024-07-08
org_31887,application_submitted,2024-07-01
org_32569,application_submitted,2024-07-04
org_50766,application_submitted,2024-10-07
org_41917,application_submitted,2024-08-26
org_33096,application_submitted,2024-07-08
org_16763,application_submitted,2024-04-08
org_17305,application_submitted,2024-04-11
org_30933,application_submitted,2024-06-25
org_7296,application_submitted,2024-02-16
org_20164,application_submitted,2024-04-25
org_35913,application_submitted,2024-07-24
org_33625,application_submitted,2024-07-11
org_25614,application_submitted,2024-05-26
org_35457,application_submitted,2024-07-22
org_3087,application_submitted,2024-01-22
org_37988,application_submitted,2024-08-06
org_43579,application_submitted,2024-09-03
org_11667,application_submitted,2024-03-12
org_11891,application_submitted,2024-03-13
org_23004,application_submitted,2024-05-10
org_38851,application_submitted,2024-08-10
org_33459,application_submitted,2024-07-10
org_30619,application_submitted,2024-06-24
org_53121,application_submitted,2024-10-19
org_14247,application_submitted,2024-03-25
org_31130,application_submitted,2024-06-26
org_3136,application_submitted,2024-01-23
org_39738,application_submitted,2024-08-14
org_56517,application_submitted,2024-11-07
org_44890,application_submitted,2024-09-09
org_28069,application_submitted,2024-06-09
org_14227,application_submitted,2024-03-25
org_12810,application_submitted,2024-03-18
org_26206,application_submitted,2024-05-29
org_2498,application_submitted,2024-01-18
org_27553,application_submitted,2024-06-05
org_52368,application_submitted,2024-10-16
org_5669,application_submitted,2024-02-06
org_5100,application_submitted,2024-02-02
org_34287,application_submitted,2024-07-15
org_33742,application_submitted,2024-07-11
org_7420,application_submitted,2024-02-17
org_5848,application_submitted,2024-02-07
org_35938,application_submitted,2024-07-24
org_46832,application_submitted,2024-09-18
org_38894,application_submitted,2024-08-10
org_53584,application_submitted,2024-10-22
org_45301,application_submitted,2024-09-11
org_32397,application_submitted,2024-07-03
org_23489,application_submitted,2024-05-14
org_10702,application_submitted,2024-03-06
org_6593,application_submitted,2024-02-12
org_37958,application_submitted,2024-08-06
org_18156,application_submitted,2024-04-16
org_42085,application_submitted,2024-08-27
org_50440,application_submitted,2024-10-05
org_38076,application_submitted,2024-08-06
org_35481,application_submitted,2024-07-22
org_21051,application_submitted,2024-04-30
org_16610,application_submitted,2024-04-07
org_9280,application_submitted,2024-02-28
org_33669,application_submitted,2024-07-11
org_12361,application_submitted,2024-03-15
org_21222,application_submitted,2024-05-01
org_60578,application_submitted,2024-11-30
