organization_id,industry_type,industry,segment_size,segment_growth_potential
org_45554,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_34718,E-commerce,mercury_retail_wholesale,(1) micro,(2) high
org_20069,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_704,Consulting and Marketing,mercury_consulting_strategy,(1) micro,(1) low
org_29265,E-commerce,mercury_retail_wholesale,(1) micro,(1) low
org_31594,Consulting and Marketing,mercury_marketing,(1) micro,(2) high
org_62469,Consulting and Marketing,mercury_marketing,(1) micro,(2) high
org_10862,Technology,mercury_developer_tools,(1) micro,(2) high
org_2735,Technology,mercury_b2b,(3) medium,(2) high
org_18823,Technology,mercury_software,(1) micro,(2) high
org_24461,E-commerce,shipping_warehousing,(1) micro,(1) low
org_26465,Consulting and Marketing,mercury_consulting_strategy,(1) micro,(1) low
org_25812,E-commerce,mercury_online_retailer_shopify,(1) micro,(1) low
org_39615,Technology,mercury_software,(1) micro,(2) high
org_17256,E-commerce,mercury_online_retailer_shopify,(1) micro,(1) low
org_14327,E-commerce,mercury_online_retailer_amazon,(1) micro,(2) high
org_9870,Technology,mercury_software,(1) micro,(2) high
org_36828,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_28217,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_9547,Technology,mercury_b2b,(1) micro,(2) high
org_53744,Consulting and Marketing,mercury_consulting_financial,(1) micro,(1) low
org_2116,Consulting and Marketing,mercury_consulting_strategy,(1) micro,(1) low
org_3093,E-commerce,mercury_retail_wholesale,(1) micro,(1) low
org_33147,Technology,mercury_artificial_intelligence,(2) small,(2) high
org_22660,E-commerce,beauty_cosmetics,(1) micro,(1) low
org_197,Consulting and Marketing,mercury_consulting_strategy,(1) micro,(1) low
org_29991,E-commerce,mercury_retail_wholesale,(1) micro,(1) low
org_42475,Consulting and Marketing,mercury_consulting_strategy,(1) micro,(1) low
org_3323,Technology,mercury_b2b,(2) small,(2) high
org_29415,Consulting and Marketing,mercury_advertising,(1) micro,(1) low
org_316,E-commerce,mercury_online_retailer_amazon,(1) micro,(2) high
org_22819,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_15081,Technology,it_telecom,(1) micro,(1) low
org_45562,Consulting and Marketing,mercury_advertising,(1) micro,(1) low
org_34487,E-commerce,mercury_online_retailer_shopify,(1) micro,(1) low
org_20127,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_39818,Technology,mercury_software,(1) micro,(2) high
org_22404,Consulting and Marketing,mercury_advertising,(1) micro,(2) high
org_37031,E-commerce,mercury_retail_wholesale,(1) micro,(1) low
org_3030,Consulting and Marketing,mercury_advertising,(1) micro,(2) high
org_25438,E-commerce,mercury_online_retailer_amazon,(1) micro,(1) low
org_20812,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_90,E-commerce,mercury_retail_wholesale,(1) micro,(1) low
org_11209,Technology,mercury_artificial_intelligence,(1) micro,(2) high
org_9102,Technology,mercury_software,(1) micro,(2) high
org_32962,E-commerce,mercury_retail_wholesale,(1) micro,(1) low
org_27489,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_35114,Consulting and Marketing,mercury_marketing,(1) micro,(1) low
org_56255,Technology,mercury_artificial_intelligence,(1) micro,(2) high
org_29544,Technology,mercury_software,(3) medium,(2) high
org_38379,E-commerce,mercury_online_retailer_amazon,(1) micro,(2) high
org_21895,E-commerce,mercury_online_retailer_amazon,(1) micro,(1) low
org_4795,Technology,mercury_software,(1) micro,(2) high
org_2383,E-commerce,beauty_cosmetics,(1) micro,(1) low
org_21262,E-commerce,shipping_warehousing,(1) micro,(1) low
