session_id,user_id,session_start,session_end,session_date,event_count
sess_00001,user_0001,2024-12-20 13:43:00,2024-12-20 13:48:00,2024-12-20,6
sess_00002,user_0002,2024-12-22 18:01:00,2024-12-22 19:06:00,2024-12-22,8
sess_00003,user_0002,2024-06-20 11:43:00,2024-06-20 12:07:00,2024-06-20,4
sess_00004,user_0002,2024-06-25 17:59:00,2024-06-25 18:13:00,2024-06-25,3
sess_00005,user_0002,2024-04-18 12:28:00,2024-04-18 12:31:00,2024-04-18,5
sess_00006,user_0002,2024-11-27 16:48:00,2024-11-27 16:51:00,2024-11-27,4
sess_00007,user_0002,2024-05-04 19:44:00,2024-05-04 19:44:00,2024-05-04,7
sess_00008,user_0002,2024-07-16 11:50:00,2024-07-16 12:32:00,2024-07-16,7
sess_00009,user_0002,2024-07-09 18:54:00,2024-07-09 19:05:00,2024-07-09,2
sess_00010,user_0003,2024-12-13 14:14:00,2024-12-13 14:28:00,2024-12-13,5
sess_00011,user_0004,2024-12-09 11:32:00,2024-12-09 11:32:00,2024-12-09,5
sess_00012,user_0004,2024-12-17 13:31:00,2024-12-17 14:40:00,2024-12-17,5
sess_00013,user_0004,2024-12-17 11:32:00,2024-12-17 12:05:00,2024-12-17,4
sess_00014,user_0004,2024-11-29 16:17:00,2024-11-29 16:20:00,2024-11-29,3
sess_00015,user_0004,2024-12-06 09:46:00,2024-12-06 09:50:00,2024-12-06,5
sess_00016,user_0004,2024-12-07 14:19:00,2024-12-07 14:23:00,2024-12-07,6
sess_00017,user_0004,2024-12-10 10:19:00,2024-12-10 10:26:00,2024-12-10,7
sess_00018,user_0004,2024-12-05 10:20:00,2024-12-05 10:35:00,2024-12-05,8
sess_00019,user_0004,2024-12-15 10:49:00,2024-12-15 10:58:00,2024-12-15,3
sess_00020,user_0004,2024-12-15 17:36:00,2024-12-15 17:42:00,2024-12-15,6
sess_00021,user_0004,2024-12-28 10:32:00,2024-12-28 10:43:00,2024-12-28,2
sess_00022,user_0005,2024-04-07 14:31:00,2024-04-07 14:33:00,2024-04-07,5
sess_00023,user_0005,2024-01-11 12:26:00,2024-01-11 12:31:00,2024-01-11,3
sess_00024,user_0005,2024-08-15 17:31:00,2024-08-15 17:40:00,2024-08-15,7
sess_00025,user_0005,2024-07-16 19:20:00,2024-07-16 19:32:00,2024-07-16,5
